Gas Date: 2025-10-10  Cycle: INTRDY_2025-10-11_0900
Station Name,Cap,Nom,Cap2
Athens,455,0,
Blue Racer,200,25,
Belle River,606,534,
Colerain,976,935,
Clyde,1513,1351,
Hanoverton,1537,1491,
Highland,455,0,
Milford,606,574,
Majorsville,695,436,
Big Run,850,25,
Salineville,1018,977,
Springville,455,0,
Holbrook,330,332,
Washington,606,534,
Wadsworth,1532,1486,
Waterville,1463,1278,
Ypsilanti,1118,845,
