Gas Date: 2025-10-10  Cycle: INTRDY_2025-10-11_0900
Station Name,Cap,Nom,Cap2
Burrillville,1115,682,
Chaplin,1139,827,
Cromwell,1360,873,
C System,178,43,
E System,125,25,
G System,480,212,
Hanover,817,70,-780,
AGT I-8,-150,-140,440,
J System 2,324,114,
J System,360,139,
Mahwah Mainline,1632,572,-958,
Millenium Mainline,1890,1231,
Oxford,1590,958,
Southeast,1795,1194,
Stony Point,1908,1223,
Weymouth,-80,-67,720,
