Gas Date: 2025-10-10  Cycle: INTRDY_2025-10-11_0901
Station Name,Cap,Nom,Cap2
Baileyville,875,-138,-410,
Brewer,868,-160,-411,
Eliot,881,-68,-413,
Richmond,861,-169,-411,
Searsmont,865,-160,-411,
Wood-Chopping Ridge,872,-152,-411,
Westbrook,883,-48,-413,
