Cycle_Desc,Post_Date,Eff_Gas_Day,Cap_Type_Desc,Post_Time,Eff_Time,Loc,Loc_Name,Loc_Zn,Flow_Ind_Desc,Loc_Purp_Desc,Loc_QTI_Desc,Meas_Basis_Desc,IT,All_Qty_Avail,Total_Design_Capacity,Operating_Capacity,Total_Scheduled_Quantity,Operationally_Available_Capacity,TSP_Name,TSP
INTRDY_2023-01-01_0900,01-01-2023,12-31-2022,Operational Capacity,09:00,09:00,M0003,OLYMPUS (992003),,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"193,944","193,944","93,614","100,330",MISSISSIPPI CANYON,946822749
INTRDY_2023-01-01_0900,01-01-2023,12-31-2022,Operational Capacity,09:00,09:00,M0004,WD-143 MARS/URSA 992000,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"1,000,667","1,000,667",0,"1,000,667",MISSISSIPPI CANYON,946822749
INTRDY_2023-01-01_0900,01-01-2023,12-31-2022,Operational Capacity,09:00,09:00,M0006,VENICE GAS PLANT (992002),,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,Y,Y,"1,194,815","1,194,815","202,996","991,819",MISSISSIPPI CANYON,946822749
INTRDY_2023-01-01_0900,01-01-2023,12-31-2022,Operational Capacity,09:00,09:00,M0007,VENICE GAS PLANT BYPASS (992010),,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"838,718","838,718",0,"838,718",MISSISSIPPI CANYON,946822749
INTRDY_2023-01-01_0900,01-01-2023,12-31-2022,Operational Capacity,09:00,09:00,M0008,KINETICA ENERGY EXPRESS (992009),,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,Y,Y,"290,285","244,169","57,413","186,756",MISSISSIPPI CANYON,946822749
INTRDY_2023-01-01_0900,01-01-2023,12-31-2022,Operational Capacity,09:00,09:00,M0009,HIGH POINT GAS TRANSMISSION (992006),,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"270,587","99,660","7,947","91,713",MISSISSIPPI CANYON,946822749
INTRDY_2023-01-01_0900,01-01-2023,12-31-2022,Operational Capacity,09:00,09:00,M0021,Ursa Platform MC 809-2,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,Y,Y,"278,917","278,917","118,290","160,627",MISSISSIPPI CANYON,946822749
INTRDY_2023-01-01_0900,01-01-2023,12-31-2022,Operational Capacity,09:00,09:00,M5022,MARS PLATFORM (R-M0022 D-M0024),,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"130,900","130,900","60,144","70,756",MISSISSIPPI CANYON,946822749

