Cycle_Desc,Post_Date,Eff_Gas_Day,Cap_Type_Desc,Post_Time,Eff_Time,Loc,Loc_Name,Loc_Zn,Flow_Ind_Desc,Loc_Purp_Desc,Loc_QTI_Desc,Meas_Basis_Desc,IT,All_Qty_Avail,Total_Design_Capacity,Operating_Capacity,Total_Scheduled_Quantity,Operationally_Available_Capacity,TSP_Name,TSP
INTRDY_2023-01-05_0900,01-05-2023,01-04-2023,Operational Capacity,09:00,09:00,M0003,OLYMPUS (992003),,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"193,977","193,977","125,589","68,388",MISSISSIPPI CANYON,946822749
INTRDY_2023-01-05_0900,01-05-2023,01-04-2023,Operational Capacity,09:00,09:00,M0004,WD-143 MARS/URSA 992000,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"1,000,835","1,000,835",0,"1,000,835",MISSISSIPPI CANYON,946822749
INTRDY_2023-01-05_0900,01-05-2023,01-04-2023,Operational Capacity,09:00,09:00,M0006,VENICE GAS PLANT (992002),,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,Y,Y,"1,195,017","1,195,017","202,896","992,121",MISSISSIPPI CANYON,946822749
INTRDY_2023-01-05_0900,01-05-2023,01-04-2023,Operational Capacity,09:00,09:00,M0007,VENICE GAS PLANT BYPASS (992010),,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"838,860","838,860",0,"838,860",MISSISSIPPI CANYON,946822749
INTRDY_2023-01-05_0900,01-05-2023,01-04-2023,Operational Capacity,09:00,09:00,M0008,KINETICA ENERGY EXPRESS (992009),,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,Y,Y,"290,334","244,210","77,912","166,298",MISSISSIPPI CANYON,946822749
INTRDY_2023-01-05_0900,01-05-2023,01-04-2023,Operational Capacity,09:00,09:00,M0009,HIGH POINT GAS TRANSMISSION (992006),,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"270,633","99,677","8,255","91,422",MISSISSIPPI CANYON,946822749
INTRDY_2023-01-05_0900,01-05-2023,01-04-2023,Operational Capacity,09:00,09:00,M0021,Ursa Platform MC 809-2,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,Y,Y,"278,964","278,964","111,190","167,774",MISSISSIPPI CANYON,946822749
INTRDY_2023-01-05_0900,01-05-2023,01-04-2023,Operational Capacity,09:00,09:00,M5022,MARS PLATFORM (R-M0022 D-M0024),,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"130,922","130,922","56,247","74,675",MISSISSIPPI CANYON,946822749

