Cycle_Desc,Post_Date,Eff_Gas_Day,Cap_Type_Desc,Post_Time,Eff_Time,Loc,Loc_Name,Loc_Zn,Flow_Ind_Desc,Loc_Purp_Desc,Loc_QTI_Desc,Meas_Basis_Desc,IT,All_Qty_Avail,Total_Design_Capacity,Operating_Capacity,Total_Scheduled_Quantity,Operationally_Available_Capacity,TSP_Name,TSP
INTRDY_2023-02-12_0900,02-12-2023,02-11-2023,Operational Capacity,09:00,09:00,GP001,PEPL MAUMEE,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"280,000","280,000","66,000","214,000",GPL,36638044
INTRDY_2023-02-12_0900,02-12-2023,02-11-2023,Operational Capacity,09:00,09:00,GP002,ANR FALLEN TIMBERS,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"300,000","300,000","121,000","179,000",GPL,36638044
INTRDY_2023-02-12_0900,02-12-2023,02-11-2023,Operational Capacity,09:00,09:00,GP101,OREGON CLEAN ENERGY PLANT,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"290,000","290,000","127,710","162,290",GPL,36638044
INTRDY_2023-02-12_0900,02-12-2023,02-11-2023,Operational Capacity,09:00,09:00,GP102,Interstate Chemical,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"21,000","21,000","7,920","13,080",GPL,36638044
INTRDY_2023-02-12_0900,02-12-2023,02-11-2023,Operational Capacity,09:00,09:00,GP103,CLEVELAND CLIFFS,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"81,000","81,000","49,750","31,250",GPL,36638044

