Effective_From_DateTime,Effective_End_DateTime,Loc_Prop,Loc_Name,Allocated_Qty,Direction_Of_Flow,Accounting_Physincal_Indicator,Posting_DateTime
11/27/2022 09:00,11/28/2022 08:59,00001,"Partroy (MORRIS,NJ)",0,D,P,12/10/2022 06:05
11/27/2022 09:00,11/28/2022 08:59,00002,"Waterbury (NEW HAVEN,CT)","3,277",D,P,12/10/2022 06:05
11/27/2022 09:00,11/28/2022 08:59,00003,North Haven (NEW HAVEN),"17,247",D,P,12/10/2022 06:05
11/27/2022 09:00,11/28/2022 08:59,00004,"National Grid-DEY ST. (PROVIDENCE,RI)","1,948",D,P,12/10/2022 06:05
11/27/2022 09:00,11/28/2022 08:59,00005,"Willimantic (NEW HAVEN, CT)",360,D,P,12/10/2022 06:05
11/27/2022 09:00,11/28/2022 08:59,00006,"Mohegan Park (NEW LONDON,CT)",0,D,P,12/10/2022 06:05
11/27/2022 09:00,11/28/2022 08:59,00007,"Waterford (NEW LONDON,CT)",734,D,P,12/10/2022 06:05
11/27/2022 09:00,11/28/2022 08:59,00008,"National Grid-WESTERLY (WASHINGTON,RI)",342,D,P,12/10/2022 06:05
11/27/2022 09:00,11/28/2022 08:59,00009,"Putnam (WINDHAM,CT)",170,D,P,12/10/2022 06:05
11/27/2022 09:00,11/28/2022 08:59,00010,"National Grid - E. Providence (PROVIDENCE,RI)","9,999",D,P,12/10/2022 06:05
11/27/2022 09:00,11/28/2022 08:59,00011,"Taunton (BRISTOL, MA)","3,531",D,P,12/10/2022 06:05
11/27/2022 09:00,11/28/2022 08:59,00012,"National Grid - WARREN (BRISTOL,RI)",632,D,P,12/10/2022 06:05
11/27/2022 09:00,11/28/2022 08:59,00013,"National Grid- Portsmouth (NEWPORT,RI)","1,238",D,P,12/10/2022 06:05
11/27/2022 09:00,11/28/2022 08:59,00015,"Freetown (BRISTOL,MA)",804,D,P,12/10/2022 06:05
11/27/2022 09:00,11/28/2022 08:59,00016,"New England Gas Company Fall River (BRISTOL,MA)","9,674",D,P,12/10/2022 06:05
11/27/2022 09:00,11/28/2022 08:59,00017,"New Bedford (BRISTOL,MA)",913,D,P,12/10/2022 06:05
11/27/2022 09:00,11/28/2022 08:59,00018,"National Grid-BOURNE (BARNSTABLE,MA)","2,256",D,P,12/10/2022 06:05
11/27/2022 09:00,11/28/2022 08:59,00019,"Plymouth (PLYMOUTH,MA)",388,D,P,12/10/2022 06:05
