Effective_From_DateTime,Effective_End_DateTime,Loc_Prop,Loc_Name,Allocated_Qty,Direction_Of_Flow,Accounting_Physincal_Indicator,Posting_DateTime
01/02/2023 09:00,01/03/2023 08:59,00001,"Partroy (MORRIS,NJ)",0,D,P,02/10/2023 06:05
01/02/2023 09:00,01/03/2023 08:59,00002,"Waterbury (NEW HAVEN,CT)","6,836",D,P,02/10/2023 06:05
01/02/2023 09:00,01/03/2023 08:59,00003,North Haven (NEW HAVEN),"10,638",D,P,02/10/2023 06:05
01/02/2023 09:00,01/03/2023 08:59,00004,"National Grid-DEY ST. (PROVIDENCE,RI)","6,837",D,P,02/10/2023 06:05
01/02/2023 09:00,01/03/2023 08:59,00005,"Willimantic (NEW HAVEN, CT)",684,D,P,02/10/2023 06:05
01/02/2023 09:00,01/03/2023 08:59,00006,"Mohegan Park (NEW LONDON,CT)",11,D,P,02/10/2023 06:05
01/02/2023 09:00,01/03/2023 08:59,00007,"Waterford (NEW LONDON,CT)","1,478",D,P,02/10/2023 06:05
01/02/2023 09:00,01/03/2023 08:59,00008,"National Grid-WESTERLY (WASHINGTON,RI)",662,D,P,02/10/2023 06:05
01/02/2023 09:00,01/03/2023 08:59,00009,"Putnam (WINDHAM,CT)",297,D,P,02/10/2023 06:05
01/02/2023 09:00,01/03/2023 08:59,00010,"National Grid - E. Providence (PROVIDENCE,RI)","25,659",D,P,02/10/2023 06:05
01/02/2023 09:00,01/03/2023 08:59,00011,"Taunton (BRISTOL, MA)","6,913",D,P,02/10/2023 06:05
01/02/2023 09:00,01/03/2023 08:59,00012,"National Grid - WARREN (BRISTOL,RI)","1,695",D,P,02/10/2023 06:05
01/02/2023 09:00,01/03/2023 08:59,00013,"National Grid- Portsmouth (NEWPORT,RI)","3,208",D,P,02/10/2023 06:05
01/02/2023 09:00,01/03/2023 08:59,00015,"Freetown (BRISTOL,MA)",985,D,P,02/10/2023 06:05
01/02/2023 09:00,01/03/2023 08:59,00016,"New England Gas Company Fall River (BRISTOL,MA)","11,594",D,P,02/10/2023 06:05
01/02/2023 09:00,01/03/2023 08:59,00017,"New Bedford (BRISTOL,MA)","2,292",D,P,02/10/2023 06:05
01/02/2023 09:00,01/03/2023 08:59,00018,"National Grid-BOURNE (BARNSTABLE,MA)","4,434",D,P,02/10/2023 06:05
