Effective_From_DateTime,Effective_End_DateTime,Loc_Prop,Loc_Name,Allocated_Qty,Direction_Of_Flow,Accounting_Physincal_Indicator,Posting_DateTime
12/27/2022 09:00,12/28/2022 08:59,00001,"Partroy (MORRIS,NJ)",0,D,P,01/10/2023 06:05
12/27/2022 09:00,12/28/2022 08:59,00002,"Waterbury (NEW HAVEN,CT)","4,892",D,P,01/10/2023 06:05
12/27/2022 09:00,12/28/2022 08:59,00003,North Haven (NEW HAVEN),"32,996",D,P,01/10/2023 06:05
12/27/2022 09:00,12/28/2022 08:59,00004,"National Grid-DEY ST. (PROVIDENCE,RI)","10,302",D,P,01/10/2023 06:05
12/27/2022 09:00,12/28/2022 08:59,00005,"Willimantic (NEW HAVEN, CT)",513,D,P,01/10/2023 06:05
12/27/2022 09:00,12/28/2022 08:59,00006,"Mohegan Park (NEW LONDON,CT)",249,D,P,01/10/2023 06:05
12/27/2022 09:00,12/28/2022 08:59,00007,"Waterford (NEW LONDON,CT)","1,154",D,P,01/10/2023 06:05
12/27/2022 09:00,12/28/2022 08:59,00008,"National Grid-WESTERLY (WASHINGTON,RI)",655,D,P,01/10/2023 06:05
12/27/2022 09:00,12/28/2022 08:59,00009,"Putnam (WINDHAM,CT)",199,D,P,01/10/2023 06:05
12/27/2022 09:00,12/28/2022 08:59,00010,"National Grid - E. Providence (PROVIDENCE,RI)","28,265",D,P,01/10/2023 06:05
12/27/2022 09:00,12/28/2022 08:59,00011,"Taunton (BRISTOL, MA)","8,257",D,P,01/10/2023 06:05
12/27/2022 09:00,12/28/2022 08:59,00012,"National Grid - WARREN (BRISTOL,RI)","3,294",D,P,01/10/2023 06:05
12/27/2022 09:00,12/28/2022 08:59,00013,"National Grid- Portsmouth (NEWPORT,RI)","5,105",D,P,01/10/2023 06:05
12/27/2022 09:00,12/28/2022 08:59,00015,"Freetown (BRISTOL,MA)","7,505",D,P,01/10/2023 06:05
12/27/2022 09:00,12/28/2022 08:59,00016,"New England Gas Company Fall River (BRISTOL,MA)","12,766",D,P,01/10/2023 06:05
12/27/2022 09:00,12/28/2022 08:59,00017,"New Bedford (BRISTOL,MA)","8,740",D,P,01/10/2023 06:05
12/27/2022 09:00,12/28/2022 08:59,00018,"National Grid-BOURNE (BARNSTABLE,MA)","6,577",D,P,01/10/2023 06:05
12/27/2022 09:00,12/28/2022 08:59,00019,"Plymouth (PLYMOUTH,MA)","3,884",D,P,01/10/2023 06:05
12/27/2022 09:00,12/28/2022 08:59,00020,"Milford (WORCESTER,MA)","1,921",D,P,01/10/2023 06:05
12/27/2022 09:00,12/28/2022 08:59,00021,"National Grid- NORWOOD (NORFOLK,MA)","1,889",D,P,01/10/2023 06:05
12/27/2022 09:00,12/28/2022 08:59,00022,"Westwood (NORFOLK, MA)","6,726",D,P,01/10/2023 06:05
