Effective_From_DateTime,Effective_End_DateTime,Loc_Prop,Loc_Name,Allocated_Qty,Direction_Of_Flow,Accounting_Physincal_Indicator,Posting_DateTime
01/07/2023 09:00,01/08/2023 08:59,00001,"Partroy (MORRIS,NJ)",0,D,P,02/10/2023 06:05
01/07/2023 09:00,01/08/2023 08:59,00002,"Waterbury (NEW HAVEN,CT)","3,793",D,P,02/10/2023 06:05
01/07/2023 09:00,01/08/2023 08:59,00003,North Haven (NEW HAVEN),"30,402",D,P,02/10/2023 06:05
01/07/2023 09:00,01/08/2023 08:59,00004,"National Grid-DEY ST. (PROVIDENCE,RI)","3,057",D,P,02/10/2023 06:05
01/07/2023 09:00,01/08/2023 08:59,00005,"Willimantic (NEW HAVEN, CT)",355,D,P,02/10/2023 06:05
01/07/2023 09:00,01/08/2023 08:59,00006,"Mohegan Park (NEW LONDON,CT)",0,D,P,02/10/2023 06:05
01/07/2023 09:00,01/08/2023 08:59,00007,"Waterford (NEW LONDON,CT)",812,D,P,02/10/2023 06:05
01/07/2023 09:00,01/08/2023 08:59,00008,"National Grid-WESTERLY (WASHINGTON,RI)",350,D,P,02/10/2023 06:05
01/07/2023 09:00,01/08/2023 08:59,00009,"Putnam (WINDHAM,CT)",124,D,P,02/10/2023 06:05
01/07/2023 09:00,01/08/2023 08:59,00010,"National Grid - E. Providence (PROVIDENCE,RI)","16,437",D,P,02/10/2023 06:05
01/07/2023 09:00,01/08/2023 08:59,00011,"Taunton (BRISTOL, MA)","7,287",D,P,02/10/2023 06:05
01/07/2023 09:00,01/08/2023 08:59,00012,"National Grid - WARREN (BRISTOL,RI)","1,202",D,P,02/10/2023 06:05
01/07/2023 09:00,01/08/2023 08:59,00013,"National Grid- Portsmouth (NEWPORT,RI)","2,411",D,P,02/10/2023 06:05
01/07/2023 09:00,01/08/2023 08:59,00015,"Freetown (BRISTOL,MA)","2,437",D,P,02/10/2023 06:05
01/07/2023 09:00,01/08/2023 08:59,00016,"New England Gas Company Fall River (BRISTOL,MA)","13,080",D,P,02/10/2023 06:05
01/07/2023 09:00,01/08/2023 08:59,00017,"New Bedford (BRISTOL,MA)","5,518",D,P,02/10/2023 06:05
01/07/2023 09:00,01/08/2023 08:59,00018,"National Grid-BOURNE (BARNSTABLE,MA)","3,792",D,P,02/10/2023 06:05
01/07/2023 09:00,01/08/2023 08:59,00019,"Plymouth (PLYMOUTH,MA)","1,757",D,P,02/10/2023 06:05
01/07/2023 09:00,01/08/2023 08:59,00020,"Milford (WORCESTER,MA)",962,D,P,02/10/2023 06:05
01/07/2023 09:00,01/08/2023 08:59,00021,"National Grid- NORWOOD (NORFOLK,MA)","1,058",D,P,02/10/2023 06:05
01/07/2023 09:00,01/08/2023 08:59,00022,"Westwood (NORFOLK, MA)","3,220",D,P,02/10/2023 06:05
01/07/2023 09:00,01/08/2023 08:59,00023,"National Grid- EAST BRAINTREE (NORFOLK,MA)","2,939",D,P,02/10/2023 06:05
01/07/2023 09:00,01/08/2023 08:59,00024,"Brockton (PLYMOUTH,MA)","20,279",D,P,02/10/2023 06:05
01/07/2023 09:00,01/08/2023 08:59,00025,"Hopedale (NORFOLK,MA)",967,D,P,02/10/2023 06:05
01/07/2023 09:00,01/08/2023 08:59,00027,"National Grid- EVERETT (MIDDLESEX,MA)","10,935",D,P,02/10/2023 06:05
01/07/2023 09:00,01/08/2023 08:59,00028,"Brookford ST (MIDDLESEX,MA)","2,142",D,P,02/10/2023 06:05
01/07/2023 09:00,01/08/2023 08:59,00029,"Middleboro (PLYMOUTH,MA)",545,D,P,02/10/2023 06:05
01/07/2023 09:00,01/08/2023 08:59,00030,"Guilford (NEW HAVEN,CT)","5,652",D,P,02/10/2023 06:05
01/07/2023 09:00,01/08/2023 08:59,00031,"Kensington New Haven, CT","1,402",D,P,02/10/2023 06:05
01/07/2023 09:00,01/08/2023 08:59,00032,"National Grid-WALTHAM (MIDDLESEX,MA)","2,315",D,P,02/10/2023 06:05
01/07/2023 09:00,01/08/2023 08:59,00033,"National Grid - TIVERTON (NEWPORT,RI)",124,D,P,02/10/2023 06:05
01/07/2023 09:00,01/08/2023 08:59,00034,"New England Gas Company No. Attleboro (BRISTOL,MA)","2,775",D,P,02/10/2023 06:05
01/07/2023 09:00,01/08/2023 08:59,00035,"Salem Pike (NORWICH, CT)",0,D,P,02/10/2023 06:05
01/07/2023 09:00,01/08/2023 08:59,00036,"West Medway (NORFOLK,MA)","5,066",D,P,02/10/2023 06:05
01/07/2023 09:00,01/08/2023 08:59,00037,"South Attleboro (BRISTOL, MA)","4,193",D,P,02/10/2023 06:05
01/07/2023 09:00,01/08/2023 08:59,00038,"Charles River RD (NORFOLK,MA)","1,898",D,P,02/10/2023 06:05
01/07/2023 09:00,01/08/2023 08:59,00039,"Suffern (ROCKLAND,NY)",0,D,P,02/10/2023 06:05
01/07/2023 09:00,01/08/2023 08:59,00040,"Stony Point (ROCKLAND,NY)",0,D,P,02/10/2023 06:05
01/07/2023 09:00,01/08/2023 08:59,00041,"Peekskill (WESTCHESTER,NY)",0,D,P,02/10/2023 06:05
01/07/2023 09:00,01/08/2023 08:59,00043,"Ashland (MIDDLESEX,MA)","1,465",D,P,02/10/2023 06:05
01/07/2023 09:00,01/08/2023 08:59,00044,"National Grid-Burrillville (PROVIDENCE,RI)",81,D,P,02/10/2023 06:05
01/07/2023 09:00,01/08/2023 08:59,00045,Somers  (Westchester),0,D,P,02/10/2023 06:05
01/07/2023 09:00,01/08/2023 08:59,00046,"Yantic (HARTFORD,CT)",0,D,P,02/10/2023 06:05
01/07/2023 09:00,01/08/2023 08:59,00047,"Cortlandt (WESTCHESTER,NY)",0,D,P,02/10/2023 06:05
