Effective_From_DateTime,Effective_End_DateTime,Loc_Prop,Loc_Name,Allocated_Qty,Direction_Of_Flow,Accounting_Physincal_Indicator,Posting_DateTime
11/14/2022 09:00,11/15/2022 08:59,00053,"Norwichtown (NEW LONDON,CT)",0,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00055,"Bernards (SOMERSET,NJ)",0,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00056,"Morris (MORRIS,NJ)",0,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00057,"National Grid-WESTON (MIDDLESEX,MA)","1,400",D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00058,"Canton (NORFOLK,MA)","3,382",D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00059,"MONTVILLE (NEW LONDON,CT)","4,075",D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00060,"Southington (HARTFORD,CT)",333,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00061,"Woodland RD (NORFOLK,MA)",230,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00062,"Vernon (TOLLAND,CT)","1,889",D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00063,"Danbury (FAIRFIELD,CT)",744,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00064,"National Grid-BARRINGTON (PROVIDENCE,RI)",0,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00066,"Dover (NORFOLK,MA)",9,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00068,"Farmington (HARTFORD,CT)",50,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00069,"Oxford (NEW HAVEN, CT)",172,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00071,"New England Gas Company Swansea (BRISTOL,MA)","1,994",D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00072,"Portland (MIDDLESEX,CT)",4,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00074,"National Grid-WELLESLEY (NORFOLK,MA)","15,393",D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00075,"GLASTONBURY (HARTFORD,CT)",191,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00076,"MANSFIELD (TOLLAND,CT)",17,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00077,"DEFCO (NEW HAVEN,CT)","1,140",D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00078,"CROMWELL (MIDDLESEX,CT)",299,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00079,"SOUTHBURY (NEW HAVEN,CT)",220,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00080,"National Grid-POLAROID (MIDDLESEX,MA)","7,232",D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00081,"National Grid-POTTER St. (NORFOLK,MA)",0,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00082,"Stonington (NEW LONDON,CT)",0,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00083,"National Grid-CUMBERLAND (PROVIDENCE,RI)",265,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00084,"Southeast (PUTNAM,NY)",0,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00085,"Bristol (HARTFORD,CT)","1,803",D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00087,"PG&E Manchester St, (PROVIDENCE,RI)",0,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00089,"National Grid-MEDFORD (MIDDLESEX,MA)","1,457",D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00093,"Dartmouth Power (NORFOLK,MA)",0,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00094,"Bellingham(NORFOLK,MA)",0,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00095,"Ocean St (PROVIDENCE,RI)","1,058",D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00201,"Mahwah (BERGEN,NJ)","33,810",R,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00202,"Ramapo (ROCKLAND,NY)",0,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00205,"MENDON (NORFOLK,MA)",0,R,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00208,"AGT-WANAQUE INTERCONNECT (PASSAIC,NJ)",0,R,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00210,"Algonquin - Lambertville, NJ","239,219",R,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00211,"TETCO - Hanover (MORRIS,NJ)",0,R,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00214,"Ramapo - Millennium (ROCKLAND,NY)","71,572",R,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00215,"Salem Essex Co., MA (ESSEX,MA)",0,R,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00220,"Centerville-Transco (MORRIS,NJ)","13,065",R,P,12/10/2022 06:05
