GFLOC,LocPurpDesc,Loc,LocName,LocZn,IT,FlowInd,LocSegment,DesignCapacity,OperatingCapacity,TotalScheduledQuantity,OperationallyAvailableCapacity,AllQtyAvail,QtyReason,Timestamp,GFPipeID,EffGasDayTime,TSP_Name,PipeCode,CycleDesc
100OA071423D,Delivery Location,71423,"New Jersey Natural - Montville, NJ",3,N,D,,35598.0,36269.0,0.0,36269.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA071424D,Delivery Location,71424,"New Roads, LA",ELA,N,D,,7933.0,7968.0,137.0,7831.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA071425D,Delivery Location,71425,"Morganza, LA",ELA,N,D,,3078.0,3286.0,43.0,3243.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA071426D,Delivery Location,71426,"Mantachie Gas Dist -Fulton, MS",1,N,D,,2939.0,3138.0,234.0,2904.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA071430D,Delivery Location,71430,"United Cities -Nolensville, TN",1,N,D,,7526.0,8224.0,0.0,8224.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA071435D,Delivery Location,71435,"Cleco Energy - Chireno #1, TX  (Delivery)",ETX,N,D,,7432.0,7631.0,415.0,7216.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA071436D,Delivery Location,71436,"Cleco Energy - Chireno #2, TX  (Delivery)",ETX,N,D,,6437.0,6537.0,10.0,6527.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA071438D,Delivery Location,71438,"UGI CENTRAL - Dauphin Co. Gas - Annville, PA",3,N,D,,32157.0,32157.0,5312.0,26845.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA071439D,Delivery Location,71439,"Indiana Gas Co. - Dubois, IN",2,N,D,,4335.0,4335.0,600.0,3735.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA071455D,Delivery Location,71455,"UGI CENTRAL - Huntingdon Gas - Mapleton, PA",3,N,D,,7646.0,7646.0,0.0,7646.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA071461D,Delivery Location,71461,"UGI UTIL (Columbia Gas) - Rich Hill, PA",3,N,D,,18319.0,18319.0,0.0,18319.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA071463D,Delivery Location,71463,"Tamms, IL",1,N,D,,4829.0,4852.0,170.0,4682.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA071464D,Delivery Location,71464,"Public Service - Hillsborough, NJ",3,N,D,,96299.0,96299.0,22434.0,73865.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA071469D,Delivery Location,71469,"Atmos Energy Corporation - Qulin, MO",1,N,D,,4884.0,5126.0,30.0,5096.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA071473D,Delivery Location,71473,"Mississippi Gas - LeBlanc, LA",WLA,N,D,,1244.0,1244.0,0.0,1244.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA071485D,Delivery Location,71485,"GULF SOUTH PIPELINE COMPANY - Gillis, LA",WLA,N,D,,213095.0,227699.0,0.0,227699.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA071486R,Receipt Location,71486,"GULF SOUTH PIPELINE COMPANY - Opelousas, LA",ELA,N,R,,279870.0,279870.0,2500.0,277370.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA071497D,Delivery Location,71497,"GULF SOUTH PIPELINE COMPANY, LLC - Canton, MS",ELA,N,D,,47408.0,47420.0,0.0,47420.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA071503R,Receipt Location,71503,"Henderson Petroleum Corp.-SW Lake Boeuf Lafourche Psh.,LA",ELA,N,R,,8695.0,8808.0,0.0,8808.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA071512D,Delivery Location,71512,"Cen Il Pub Serv -Broughton, IL",1,N,D,,2440.0,2440.0,0.0,2440.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
