GFLOC,LocPurpDesc,Loc,LocName,LocZn,IT,FlowInd,LocSegment,DesignCapacity,OperatingCapacity,TotalScheduledQuantity,OperationallyAvailableCapacity,AllQtyAvail,QtyReason,Timestamp,TSP,EffGasDayTime,CycleDesc
114OA000027D,Delivery Location,00027,"National Grid- EVERETT (MIDDLESEX,MA)",,N,D,,247268.0,247268.0,34250.0,213018.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000028D,Delivery Location,00028,"Brookford ST (MIDDLESEX,MA)",,N,D,,66151.0,66151.0,2369.0,63782.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000029D,Delivery Location,00029,"Middleboro (PLYMOUTH,MA)",,N,D,,16445.0,17118.0,3075.0,14043.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000030D,Delivery Location,00030,"Guilford (NEW HAVEN,CT)",,N,D,,74622.0,118839.0,517.0,118322.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000031D,Delivery Location,00031,"Kensington New Haven, CT",,N,D,,143915.0,143915.0,20153.0,123762.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000032D,Delivery Location,00032,"National Grid-WALTHAM (MIDDLESEX,MA)",,N,D,,95754.0,95754.0,2887.0,92867.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000033D,Delivery Location,00033,"Rhode Island Energy - TIVERTON (NEWPORT,RI)",,N,D,,2040.0,2040.0,1146.0,894.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000034D,Delivery Location,00034,"New England Gas Company No. Attleboro (BRISTOL,MA)",,N,D,,22483.0,22483.0,4407.0,18076.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000035D,Delivery Location,00035,"Salem Pike (NORWICH, CT)",,N,D,,4791.0,4791.0,0.0,4791.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000036D,Delivery Location,00036,"West Medway (NORFOLK,MA)",,N,D,,48840.0,48840.0,4849.0,43991.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000037D,Delivery Location,00037,"South Attleboro (BRISTOL, MA)",,N,D,,23217.0,24341.0,0.0,24341.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000038D,Delivery Location,00038,"Charles River RD (NORFOLK,MA)",,N,D,,37548.0,37548.0,5289.0,32259.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000039D,Delivery Location,00039,"Suffern (ROCKLAND,NY)",,N,D,,19130.0,23300.0,0.0,23300.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000040D,Delivery Location,00040,"Stony Point (ROCKLAND,NY)",,N,D,,235188.0,235188.0,10527.0,224661.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000041D,Delivery Location,00041,"Peekskill (WESTCHESTER,NY)",,N,D,,67138.0,67138.0,14933.0,52205.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000043D,Delivery Location,00043,"Ashland (MIDDLESEX,MA)",,N,D,,94421.0,94421.0,6368.0,88053.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000044D,Delivery Location,00044,"Rhode Island Energy-Burrillville (PROVIDENCE,RI)",,N,D,,12310.0,12310.0,0.0,12310.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000045D,Delivery Location,00045,Somers  (Westchester),,N,D,,110800.0,110800.0,22376.0,88424.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000046D,Delivery Location,00046,"Yantic (HARTFORD,CT)",,N,D,,5875.0,5875.0,0.0,5875.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000047D,Delivery Location,00047,"Cortlandt (WESTCHESTER,NY)",,N,D,,16607.0,16607.0,0.0,16607.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000048D,Delivery Location,00048,"Yorktown (WESTCHESTER,NY)",,N,D,,18324.0,18324.0,0.0,18324.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000049D,Delivery Location,00049,"New England Gas Company Westport (BRISTOL,MA)",,N,D,,18929.0,18929.0,0.0,18929.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000050D,Delivery Location,00050,"Pomfret (WINDHAM,CT)",,N,D,,23838.0,24871.0,6010.0,18861.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000051D,Delivery Location,00051,Sagamore Station Relocation (Mainland Sagamore),,N,D,,90060.0,96729.0,38167.0,58562.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000052D,Delivery Location,00052,"National Grid-PONKAPOAG (NORFOLK,MA)",,N,D,,393810.0,393810.0,101700.0,292110.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000053D,Delivery Location,00053,"Norwichtown (NEW LONDON,CT)",,N,D,,6253.0,6253.0,0.0,6253.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000055D,Delivery Location,00055,"Bernards (SOMERSET,NJ)",,N,D,,69485.0,75000.0,15000.0,60000.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000056D,Delivery Location,00056,"Morris (MORRIS,NJ)",,N,D,,36500.0,36500.0,0.0,36500.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000057D,Delivery Location,00057,"National Grid-WESTON (MIDDLESEX,MA)",,N,D,,15750.0,15750.0,2498.0,13252.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000058D,Delivery Location,00058,"Canton (NORFOLK,MA)",,N,D,,48840.0,48840.0,8196.0,40644.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000059D,Delivery Location,00059,"MONTVILLE (NEW LONDON,CT)",,N,D,,240409.0,279277.0,29094.0,250183.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000060D,Delivery Location,00060,"Southington (HARTFORD,CT)",,N,D,,15748.0,15748.0,1545.0,14203.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000061D,Delivery Location,00061,"Woodland RD (NORFOLK,MA)",,N,D,,6080.0,6080.0,0.0,6080.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000062D,Delivery Location,00062,"Vernon (TOLLAND,CT)",,N,D,,85876.0,85876.0,4465.0,81411.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000063D,Delivery Location,00063,"Danbury (FAIRFIELD,CT)",,N,D,,35690.0,8000.0,14888.0,0.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000064D,Delivery Location,00064,"Rhode Island Energy-BARRINGTON (PROVIDENCE,RI)",,N,D,,14616.0,14616.0,0.0,14616.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000066D,Delivery Location,00066,"Dover (NORFOLK,MA)",,N,D,,768.0,768.0,0.0,768.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000068D,Delivery Location,00068,"Farmington (HARTFORD,CT)",,N,D,,19542.0,19542.0,9375.0,10167.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
