Gas Date: 2022-12-04  Cycle: INTRDY_2022-12-05_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,75,-60,
Bristol,55,-208,-294,
Calhoun,74,-6,-50,
Clark Range,356,212,
Dixon Springs,377,248,
Estill Springs,163,89,
Flatwoods,118,42,-228,
Fordtown,108,-148,-239,
Gainesboro,375,246,
Glade Spring,232,-118,
Jewell Ridge,275,160,
Lewisburg,177,99,
Lobelville,112,77,
Madisonville,59,-19,-62,
Maryville,33,-23,-70,
Monterey,366,226,
Nora,160,96,
Ooltewah~South,157,3,
Ooltewah,178,40,-53,
Patriot Lateral,563,37,-170,
Ridgetop,317,240,
To Roanoke,67,33,
Rural Retreat,602,21,
Topside,137,92,
Topside South,84,-47,
Tracy City,134,83,
Wartburg,329,211,
