Gas Date: 2023-01-09  Cycle: INTRDY_2023-01-10_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,133,-60,
Bristol,55,-115,-294,
Calhoun,74,2,-50,
Clark Range,356,284,
Dixon Springs,380,311,
Estill Springs,162,109,
Flatwoods,118,90,-228,
Fordtown,109,-62,-239,
Gainesboro,378,311,
Glade Spring,233,-26,
Jewell Ridge,275,158,
Lewisburg,176,119,
Lobelville,112,98,
Madisonville,60,-10,-64,
Maryville,32,-15,-76,
Monterey,368,297,
Nora,160,96,
Ooltewah~South,157,4,
Ooltewah,178,54,-53,
Patriot Lateral,555,74,-170,
Ridgetop,320,271,
To Roanoke,67,33,
Rural Retreat,598,98,
Topside,138,149,
Topside South,85,-43,
Tracy City,133,102,
Wartburg,330,282,
