Gas Date: 2022-12-17  Cycle: INTRDY_2022-12-18_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,178,-60,
Bristol,55,-118,-294,
Calhoun,74,36,-50,
Clark Range,356,311,
Dixon Springs,377,339,
Estill Springs,163,129,
Flatwoods,118,138,-228,
Fordtown,108,-37,-239,
Gainesboro,375,337,
Glade Spring,232,-25,
Jewell Ridge,275,148,
Lewisburg,177,138,
Lobelville,112,109,
Madisonville,59,23,-62,
Maryville,33,9,-70,
Monterey,366,328,
Nora,160,98,
Ooltewah~South,157,-7,
Ooltewah,178,54,-53,
Patriot Lateral,563,62,-170,
Ridgetop,317,300,
To Roanoke,67,38,
Rural Retreat,602,96,
Topside,137,194,
Topside South,84,-16,
Tracy City,134,117,
Wartburg,329,305,
