Gas Date: 2023-01-12  Cycle: INTRDY_2023-01-13_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,123,-60,
Bristol,55,-137,-294,
Calhoun,74,7,-50,
Clark Range,356,250,
Dixon Springs,380,286,
Estill Springs,162,113,
Flatwoods,118,89,-228,
Fordtown,109,-78,-239,
Gainesboro,378,286,
Glade Spring,233,-55,
Jewell Ridge,275,160,
Lewisburg,176,132,
Lobelville,112,98,
Madisonville,60,-5,-64,
Maryville,32,-10,-76,
Monterey,368,266,
Nora,160,88,
Ooltewah~South,157,7,
Ooltewah,178,48,-53,
Patriot Lateral,555,37,-170,
Ridgetop,320,252,
To Roanoke,67,30,
Rural Retreat,598,33,
Topside,138,138,
Topside South,85,-39,
Tracy City,133,102,
Wartburg,330,246,
