Gas Date: 2023-01-10  Cycle: INTRDY_2023-01-11_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,122,-60,
Bristol,55,-113,-294,
Calhoun,74,-2,-50,
Clark Range,356,263,
Dixon Springs,380,311,
Estill Springs,162,109,
Flatwoods,118,89,-228,
Fordtown,109,-59,-239,
Gainesboro,378,310,
Glade Spring,233,-26,
Jewell Ridge,275,146,
Lewisburg,176,130,
Lobelville,112,101,
Madisonville,60,-14,-64,
Maryville,32,-19,-76,
Monterey,368,282,
Nora,160,93,
Ooltewah~South,157,7,
Ooltewah,178,56,-53,
Patriot Lateral,555,108,-170,
Ridgetop,320,273,
To Roanoke,67,33,
Rural Retreat,598,119,
Topside,138,138,
Topside South,85,-35,
Tracy City,133,103,
Wartburg,330,261,
