Gas Date: 2022-11-29  Cycle: INTRDY_2022-11-30_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,134,102,-63,
Bristol,56,-163,-288,
Calhoun,70,15,-54,
Clark Range,353,164,
Dixon Springs,367,198,
Estill Springs,164,91,
Flatwoods,118,75,-228,
Fordtown,108,-100,-240,
Gainesboro,365,198,
Glade Spring,225,-85,
Jewell Ridge,275,189,
Lewisburg,176,99,
Lobelville,113,72,
Madisonville,59,5,-65,
Maryville,32,0,-70,
Monterey,359,177,
Nora,160,87,
Ooltewah~South,157,5,
Ooltewah,185,42,-53,
Patriot Lateral,572,84,-170,
Ridgetop,310,208,
To Roanoke,67,31,
Rural Retreat,597,63,
Topside,135,119,
Topside South,85,-15,
Tracy City,133,89,
Wartburg,321,162,
