Gas Date: 2023-02-16  Cycle: INTRDY_2023-02-17_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,144,-60,
Bristol,55,-109,-295,
Calhoun,75,20,-46,
Clark Range,356,238,
Dixon Springs,386,258,
Estill Springs,159,93,
Flatwoods,119,105,-228,
Fordtown,109,-84,-239,
Gainesboro,381,258,
Glade Spring,232,-27,
Jewell Ridge,275,151,
Lewisburg,174,103,
Lobelville,111,74,
Madisonville,60,4,-64,
Maryville,32,-4,-77,
Monterey,369,250,
Nora,160,88,
Ooltewah~South,157,7,
Ooltewah,177,42,-53,
Patriot Lateral,549,78,-170,
Ridgetop,320,225,
To Roanoke,67,27,
Rural Retreat,598,92,
Topside,139,153,
Topside South,85,-30,
Tracy City,133,88,
Wartburg,331,237,
