Gas Date: 2022-11-14  Cycle: INTRDY_2022-11-15_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,134,152,-65,
Bristol,54,-146,-286,
Calhoun,73,3,-55,
Clark Range,353,261,
Dixon Springs,363,291,
Estill Springs,167,101,
Flatwoods,122,119,-228,
Fordtown,100,-82,-241,
Gainesboro,361,289,
Glade Spring,201,-127,
Jewell Ridge,275,142,
Lewisburg,178,116,
Lobelville,111,86,
Madisonville,55,-8,-64,
Maryville,30,-11,-75,
Monterey,358,274,
Nora,160,31,
Ooltewah~South,157,5,
Ooltewah,181,48,-53,
Patriot Lateral,501,42,-170,
Ridgetop,228,203,
To Roanoke,67,36,
Rural Retreat,515,87,
Topside,135,168,
Topside South,88,-38,
Tracy City,131,98,
Wartburg,318,260,
