Gas Date: 2022-11-15  Cycle: INTRDY_2022-11-16_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,134,119,-65,
Bristol,54,-187,-286,
Calhoun,73,6,-55,
Clark Range,353,243,
Dixon Springs,363,275,
Estill Springs,167,89,
Flatwoods,122,91,-228,
Fordtown,100,-137,-241,
Gainesboro,361,274,
Glade Spring,201,-136,
Jewell Ridge,275,148,
Lewisburg,178,98,
Lobelville,111,85,
Madisonville,55,-6,-64,
Maryville,30,-9,-75,
Monterey,358,256,
Nora,160,67,
Ooltewah~South,157,7,
Ooltewah,181,39,-53,
Patriot Lateral,501,-18,-170,
Ridgetop,309,248,
To Roanoke,67,37,
Rural Retreat,515,-13,
Topside,135,135,
Topside South,88,-41,
Tracy City,131,86,
Wartburg,318,241,
