Gas Date: 2023-02-07  Cycle: INTRDY_2023-02-08_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,135,-60,
Bristol,55,-100,-295,
Calhoun,75,5,-46,
Clark Range,356,240,
Dixon Springs,386,261,
Estill Springs,159,100,
Flatwoods,119,104,-228,
Fordtown,109,-61,-239,
Gainesboro,381,259,
Glade Spring,232,-22,
Jewell Ridge,275,161,
Lewisburg,174,113,
Lobelville,111,72,
Madisonville,60,-6,-64,
Maryville,32,-9,-77,
Monterey,369,253,
Nora,160,85,
Ooltewah~South,157,6,
Ooltewah,177,40,-53,
Patriot Lateral,549,37,-170,
Ridgetop,320,251,
To Roanoke,67,29,
Rural Retreat,598,33,
Topside,139,149,
Topside South,85,-33,
Tracy City,133,97,
Wartburg,331,234,
