Gas Date: 2022-11-25  Cycle: INTRDY_2022-11-26_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,134,116,-63,
Bristol,56,-147,-288,
Calhoun,70,9,-54,
Clark Range,353,202,
Dixon Springs,367,219,
Estill Springs,164,88,
Flatwoods,118,88,-228,
Fordtown,108,-82,-240,
Gainesboro,365,219,
Glade Spring,225,-60,
Jewell Ridge,275,154,
Lewisburg,176,97,
Lobelville,113,71,
Madisonville,59,-3,-65,
Maryville,32,-7,-70,
Monterey,359,209,
Nora,160,100,
Ooltewah~South,157,2,
Ooltewah,185,40,-53,
Patriot Lateral,572,78,-170,
Ridgetop,310,223,
To Roanoke,67,26,
Rural Retreat,597,54,
Topside,135,132,
Topside South,85,-26,
Tracy City,133,86,
Wartburg,321,201,
