Gas Date: 2022-12-27  Cycle: INTRDY_2022-12-28_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,120,-60,
Bristol,55,-134,-294,
Calhoun,74,32,-50,
Clark Range,356,307,
Dixon Springs,377,335,
Estill Springs,163,143,
Flatwoods,118,80,-228,
Fordtown,108,-81,-239,
Gainesboro,375,326,
Glade Spring,232,-45,
Jewell Ridge,275,109,
Lewisburg,177,155,
Lobelville,112,70,
Madisonville,59,8,-62,
Maryville,33,-10,-70,
Monterey,366,316,
Nora,160,88,
Ooltewah~South,157,-14,
Ooltewah,178,50,-53,
Patriot Lateral,563,175,-170,
Ridgetop,317,226,
To Roanoke,67,52,
Rural Retreat,602,203,
Topside,137,145,
Topside South,84,-46,
Tracy City,134,132,
Wartburg,329,302,
