Gas Date: 2022-12-08  Cycle: INTRDY_2022-12-09_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,111,103,-60,
Bristol,31,-189,-294,
Calhoun,74,0,-50,
Clark Range,356,200,
Dixon Springs,377,232,
Estill Springs,163,88,
Flatwoods,94,81,-228,
Fordtown,84,-119,-239,
Gainesboro,375,232,
Glade Spring,208,-111,
Jewell Ridge,275,148,
Lewisburg,177,99,
Lobelville,112,71,
Madisonville,59,-10,-62,
Maryville,33,-19,-70,
Monterey,366,212,
Nora,160,84,
Ooltewah~South,157,6,
Ooltewah,178,41,-53,
Patriot Lateral,563,-30,-170,
Ridgetop,317,177,
To Roanoke,67,28,
Rural Retreat,558,8,
Topside,137,116,
Topside South,84,-49,
Tracy City,134,86,
Wartburg,329,199,
