Gas Date: 2023-01-04  Cycle: INTRDY_2023-01-05_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,121,-60,
Bristol,55,-95,-294,
Calhoun,74,-45,-50,
Clark Range,356,264,
Dixon Springs,380,292,
Estill Springs,162,37,
Flatwoods,118,85,-228,
Fordtown,109,-71,-239,
Gainesboro,378,292,
Glade Spring,233,-7,
Jewell Ridge,275,153,
Lewisburg,176,46,
Lobelville,112,91,
Madisonville,60,-56,-64,
Maryville,32,-61,-76,
Monterey,368,277,
Nora,160,101,
Ooltewah~South,157,7,
Ooltewah,178,-10,-53,
Patriot Lateral,555,53,-170,
Ridgetop,320,160,
To Roanoke,67,26,
Rural Retreat,598,63,
Topside,138,135,
Topside South,85,-84,
Tracy City,133,36,
Wartburg,330,263,
