Gas Date: 2022-12-25  Cycle: INTRDY_2022-12-26_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,93,-60,
Bristol,55,-140,-294,
Calhoun,74,42,-50,
Clark Range,356,294,
Dixon Springs,377,327,
Estill Springs,163,143,
Flatwoods,118,46,-228,
Fordtown,108,-133,-239,
Gainesboro,375,314,
Glade Spring,232,-103,
Jewell Ridge,275,85,
Lewisburg,177,157,
Lobelville,112,75,
Madisonville,59,19,-62,
Maryville,33,-6,-70,
Monterey,366,311,
Nora,160,42,
Ooltewah~South,157,-30,
Ooltewah,178,43,-53,
Patriot Lateral,563,158,-170,
Ridgetop,317,216,
To Roanoke,67,57,
Rural Retreat,602,210,
Topside,137,137,
Topside South,84,-43,
Tracy City,134,125,
Wartburg,329,292,
