Gas Date: 2023-02-04  Cycle: INTRDY_2023-02-05_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,177,-60,
Bristol,55,-75,-295,
Calhoun,75,10,-46,
Clark Range,356,334,
Dixon Springs,386,358,
Estill Springs,159,98,
Flatwoods,119,133,-228,
Fordtown,109,-38,-239,
Gainesboro,381,356,
Glade Spring,232,17,
Jewell Ridge,275,136,
Lewisburg,174,110,
Lobelville,111,96,
Madisonville,60,-4,-64,
Maryville,32,-13,-77,
Monterey,369,352,
Nora,160,96,
Ooltewah~South,157,-8,
Ooltewah,177,35,-53,
Patriot Lateral,549,270,-170,
Ridgetop,320,293,
To Roanoke,67,41,
Rural Retreat,598,334,
Topside,139,191,
Topside South,85,-34,
Tracy City,133,86,
Wartburg,331,329,
