Gas Date: 2022-11-30  Cycle: INTRDY_2022-12-01_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,134,119,-63,
Bristol,56,-186,-288,
Calhoun,70,16,-54,
Clark Range,353,230,
Dixon Springs,367,267,
Estill Springs,164,101,
Flatwoods,118,81,-228,
Fordtown,108,-132,-240,
Gainesboro,365,266,
Glade Spring,225,-103,
Jewell Ridge,275,140,
Lewisburg,176,110,
Lobelville,113,97,
Madisonville,59,2,-65,
Maryville,32,-2,-70,
Monterey,359,246,
Nora,160,86,
Ooltewah~South,157,4,
Ooltewah,185,48,-53,
Patriot Lateral,572,64,-170,
Ridgetop,310,258,
To Roanoke,67,39,
Rural Retreat,597,44,
Topside,135,135,
Topside South,85,-38,
Tracy City,133,96,
Wartburg,321,225,
