Gas Date: 2022-11-26  Cycle: INTRDY_2022-11-27_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,134,128,-63,
Bristol,56,-126,-288,
Calhoun,70,9,-54,
Clark Range,353,202,
Dixon Springs,367,225,
Estill Springs,164,81,
Flatwoods,118,106,-228,
Fordtown,108,-59,-240,
Gainesboro,365,225,
Glade Spring,225,-38,
Jewell Ridge,275,154,
Lewisburg,176,95,
Lobelville,113,70,
Madisonville,59,-1,-65,
Maryville,32,-5,-70,
Monterey,359,208,
Nora,160,100,
Ooltewah~South,157,2,
Ooltewah,185,39,-53,
Patriot Lateral,572,35,-170,
Ridgetop,310,199,
To Roanoke,67,30,
Rural Retreat,597,45,
Topside,135,135,
Topside South,85,-31,
Tracy City,133,79,
Wartburg,321,201,
