Gas Date: 2022-11-28  Cycle: INTRDY_2022-11-29_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,134,103,-63,
Bristol,56,-170,-288,
Calhoun,70,13,-54,
Clark Range,353,202,
Dixon Springs,367,236,
Estill Springs,164,89,
Flatwoods,118,74,-228,
Fordtown,108,-106,-240,
Gainesboro,365,236,
Glade Spring,225,-80,
Jewell Ridge,275,186,
Lewisburg,176,95,
Lobelville,113,70,
Madisonville,59,2,-65,
Maryville,32,-4,-70,
Monterey,359,216,
Nora,160,100,
Ooltewah~South,157,4,
Ooltewah,185,44,-53,
Patriot Lateral,572,91,-170,
Ridgetop,310,235,
To Roanoke,67,30,
Rural Retreat,597,75,
Topside,135,120,
Topside South,85,-34,
Tracy City,133,88,
Wartburg,321,201,
