Gas Date: 2022-12-06  Cycle: INTRDY_2022-12-07_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,136,-60,
Bristol,55,-138,-294,
Calhoun,74,23,-50,
Clark Range,356,216,
Dixon Springs,377,259,
Estill Springs,163,98,
Flatwoods,118,99,-228,
Fordtown,108,-82,-239,
Gainesboro,375,259,
Glade Spring,232,-53,
Jewell Ridge,275,155,
Lewisburg,177,105,
Lobelville,112,80,
Madisonville,59,11,-62,
Maryville,33,2,-70,
Monterey,366,228,
Nora,160,91,
Ooltewah~South,157,4,
Ooltewah,178,46,-53,
Patriot Lateral,563,85,-170,
Ridgetop,317,230,
To Roanoke,67,31,
Rural Retreat,602,92,
Topside,137,152,
Topside South,84,-25,
Tracy City,134,97,
Wartburg,329,215,
