Gas Date: 2023-02-03  Cycle: INTRDY_2023-02-04_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,175,-60,
Bristol,55,-77,-295,
Calhoun,75,26,-46,
Clark Range,356,344,
Dixon Springs,386,375,
Estill Springs,159,106,
Flatwoods,119,124,-228,
Fordtown,109,-81,-239,
Gainesboro,381,373,
Glade Spring,232,14,
Jewell Ridge,275,140,
Lewisburg,174,117,
Lobelville,111,101,
Madisonville,60,12,-64,
Maryville,32,-7,-77,
Monterey,369,364,
Nora,160,95,
Ooltewah~South,157,-17,
Ooltewah,177,41,-53,
Patriot Lateral,549,286,-170,
Ridgetop,320,299,
To Roanoke,67,46,
Rural Retreat,598,354,
Topside,139,196,
Topside South,85,-34,
Tracy City,133,94,
Wartburg,331,339,
