Gas Date: 2023-01-05  Cycle: INTRDY_2023-01-06_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,123,-60,
Bristol,55,-95,-294,
Calhoun,74,10,-50,
Clark Range,356,299,
Dixon Springs,380,317,
Estill Springs,162,108,
Flatwoods,118,88,-228,
Fordtown,109,-56,-239,
Gainesboro,378,317,
Glade Spring,233,-6,
Jewell Ridge,275,155,
Lewisburg,176,126,
Lobelville,112,99,
Madisonville,60,-2,-64,
Maryville,32,-6,-76,
Monterey,368,306,
Nora,160,100,
Ooltewah~South,157,7,
Ooltewah,178,56,-53,
Patriot Lateral,555,93,-170,
Ridgetop,320,238,
To Roanoke,67,30,
Rural Retreat,598,83,
Topside,138,137,
Topside South,85,-85,
Tracy City,133,104,
Wartburg,330,297,
