Gas Date: 2022-12-13  Cycle: INTRDY_2022-12-14_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,125,-60,
Bristol,55,-153,-294,
Calhoun,74,8,-50,
Clark Range,356,250,
Dixon Springs,377,273,
Estill Springs,163,102,
Flatwoods,118,98,-228,
Fordtown,108,-91,-239,
Gainesboro,375,271,
Glade Spring,232,-63,
Jewell Ridge,275,159,
Lewisburg,177,112,
Lobelville,112,88,
Madisonville,59,-4,-62,
Maryville,33,-15,-70,
Monterey,366,262,
Nora,160,96,
Ooltewah~South,157,7,
Ooltewah,178,53,-53,
Patriot Lateral,563,143,-170,
Ridgetop,317,257,
To Roanoke,67,33,
Rural Retreat,602,124,
Topside,137,139,
Topside South,84,-49,
Tracy City,134,100,
Wartburg,329,245,
