Gas Date: 2022-11-24  Cycle: INTRDY_2022-11-25_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,134,108,-63,
Bristol,56,-150,-288,
Calhoun,70,9,-54,
Clark Range,353,210,
Dixon Springs,367,226,
Estill Springs,164,81,
Flatwoods,118,81,-228,
Fordtown,108,-86,-240,
Gainesboro,365,226,
Glade Spring,225,-61,
Jewell Ridge,275,154,
Lewisburg,176,97,
Lobelville,113,70,
Madisonville,59,-2,-65,
Maryville,32,-7,-70,
Monterey,359,216,
Nora,160,100,
Ooltewah~South,157,2,
Ooltewah,185,40,-53,
Patriot Lateral,572,92,-170,
Ridgetop,310,230,
To Roanoke,67,24,
Rural Retreat,597,66,
Topside,135,124,
Topside South,85,-34,
Tracy City,133,80,
Wartburg,321,209,
