Gas Date: 2025-11-10  Cycle: INTRDYC_2025-11-10_1500
Station Name,Cap,Nom,Cap2
Athens,455,0,
Blue Racer,200,25,
Belle River,592,377,
Colerain,976,893,
Clyde,1536,1214,
Hanoverton,1555,1402,
Highland,455,0,
Milford,592,389,
Majorsville,695,454,
Big Run,850,25,
Salineville,1018,973,
Springville,455,0,
Holbrook,330,331,
Washington,592,377,
Wadsworth,1550,1398,
Waterville,1486,1114,
Ypsilanti,1009,721,
