Gas Date: 2023-01-13  Cycle: INTRDY_2023-01-14_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,112,-60,
Bristol,55,-190,-294,
Calhoun,74,32,-50,
Clark Range,356,273,
Dixon Springs,380,304,
Estill Springs,162,126,
Flatwoods,118,66,-228,
Fordtown,109,-108,-239,
Gainesboro,378,302,
Glade Spring,233,-102,
Jewell Ridge,275,142,
Lewisburg,176,137,
Lobelville,112,110,
Madisonville,60,16,-64,
Maryville,32,2,-76,
Monterey,368,292,
Nora,160,92,
Ooltewah~South,157,-12,
Ooltewah,178,52,-53,
Patriot Lateral,555,77,-170,
Ridgetop,320,248,
To Roanoke,67,39,
Rural Retreat,598,84,
Topside,138,138,
Topside South,85,-24,
Tracy City,133,115,
Wartburg,330,268,
