Gas Date: 2023-01-03  Cycle: INTRDY_2023-01-04_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,152,-60,
Bristol,55,-90,-294,
Calhoun,74,29,-50,
Clark Range,356,222,
Dixon Springs,380,250,
Estill Springs,162,96,
Flatwoods,118,121,-228,
Fordtown,109,-57,-239,
Gainesboro,378,250,
Glade Spring,233,4,
Jewell Ridge,275,160,
Lewisburg,176,103,
Lobelville,112,78,
Madisonville,60,17,-64,
Maryville,32,12,-76,
Monterey,368,235,
Nora,160,101,
Ooltewah~South,157,5,
Ooltewah,178,46,-53,
Patriot Lateral,555,17,-170,
Ridgetop,320,178,
To Roanoke,67,27,
Rural Retreat,598,52,
Topside,138,162,
Topside South,85,-14,
Tracy City,133,95,
Wartburg,330,220,
