Gas Date: 2023-01-02  Cycle: INTRDY_2023-01-03_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,77,-60,
Bristol,55,-112,-294,
Calhoun,74,-40,-50,
Clark Range,356,207,
Dixon Springs,380,233,
Estill Springs,162,31,
Flatwoods,118,48,-228,
Fordtown,109,-84,-239,
Gainesboro,378,233,
Glade Spring,233,-19,
Jewell Ridge,275,150,
Lewisburg,176,38,
Lobelville,112,81,
Madisonville,60,-51,-64,
Maryville,32,-55,-76,
Monterey,368,219,
Nora,160,101,
Ooltewah~South,157,2,
Ooltewah,178,-26,-53,
Patriot Lateral,555,40,-170,
Ridgetop,320,131,
To Roanoke,67,27,
Rural Retreat,598,35,
Topside,138,87,
Topside South,85,-78,
Tracy City,133,30,
Wartburg,330,205,
