Gas Date: 2025-11-10  Cycle: INTRDY_2025-11-10_1501
Station Name,Cap,Nom,Cap2
Athens,1587,-1723,-1810,
Berne 30in,1354,-1946,-1930,
Barton,1998,-1197,-1430,
Danville,1098,-1621,-1635,
Egypt,2020,-893,-1430,
Gladeville,1944,-1327,-1430,
Kosciusko,1982,-792,-1600,
Mt Pleasant,1984,-1256,-1430,
Owingsville,695,-1609,-1635,
Tompkinsville,1895,-1446,-1430,
Wheelersburg,1591,-1669,-1740,
