Gas Date: 2023-02-07  Cycle: INTRDY_2023-02-08_0900
Station Name,Cap,Nom,Cap2
Burrillville,1108,966,
Chaplin,1114,1105,
Cromwell,1400,1254,
C System,178,89,
E System,125,66,
G System,484,351,
Hanover,1119,54,-780,
AGT I-8,150,-80,-440,
J System 2,324,177,
J System,360,237,
Mahwah Mainline,1179,1002,-958,
Millenium Mainline,1890,1846,
Oxford,1604,1419,
Southeast,1938,1769,
Stony Point,1961,1825,
Weymouth,80,-70,-720,
