Gas Date: 2022-11-16  Cycle: INTRDY_2022-11-17_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,134,143,-63,
Bristol,56,-204,-288,
Calhoun,70,9,-54,
Clark Range,353,264,
Dixon Springs,367,295,
Estill Springs,164,123,
Flatwoods,118,103,-228,
Fordtown,108,-125,-240,
Gainesboro,365,293,
Glade Spring,225,-113,
Jewell Ridge,275,147,
Lewisburg,176,134,
Lobelville,113,103,
Madisonville,59,-3,-65,
Maryville,32,-6,-70,
Monterey,359,282,
Nora,160,100,
Ooltewah~South,157,7,
Ooltewah,185,51,-53,
Patriot Lateral,572,52,-170,
Ridgetop,310,251,
To Roanoke,67,41,
Rural Retreat,597,56,
Topside,135,160,
Topside South,85,-38,
Tracy City,133,113,
Wartburg,321,262,
