Gas Date: 2023-02-09  Cycle: INTRDY_2023-02-10_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,117,-60,
Bristol,55,-128,-295,
Calhoun,75,6,-46,
Clark Range,356,230,
Dixon Springs,386,252,
Estill Springs,159,93,
Flatwoods,119,88,-228,
Fordtown,109,-76,-239,
Gainesboro,381,252,
Glade Spring,232,-42,
Jewell Ridge,275,150,
Lewisburg,174,115,
Lobelville,111,91,
Madisonville,60,-5,-64,
Maryville,32,-7,-77,
Monterey,369,242,
Nora,160,94,
Ooltewah~South,157,7,
Ooltewah,177,52,-53,
Patriot Lateral,549,18,-170,
Ridgetop,320,173,
To Roanoke,67,29,
Rural Retreat,598,17,
Topside,139,132,
Topside South,85,-42,
Tracy City,133,91,
Wartburg,331,225,
