Gas Date: 2022-12-05  Cycle: INTRDY_2022-12-06_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,109,-60,
Bristol,55,-190,-294,
Calhoun,74,25,-50,
Clark Range,356,229,
Dixon Springs,377,265,
Estill Springs,163,103,
Flatwoods,118,76,-228,
Fordtown,108,-118,-239,
Gainesboro,375,264,
Glade Spring,232,-96,
Jewell Ridge,275,160,
Lewisburg,177,111,
Lobelville,112,85,
Madisonville,59,11,-62,
Maryville,33,-3,-70,
Monterey,366,244,
Nora,160,100,
Ooltewah~South,157,-4,
Ooltewah,178,57,-53,
Patriot Lateral,563,88,-170,
Ridgetop,317,254,
To Roanoke,67,31,
Rural Retreat,602,74,
Topside,137,126,
Topside South,84,-37,
Tracy City,134,101,
Wartburg,329,228,
