Gas Date: 2023-02-06  Cycle: INTRDY_2023-02-07_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,168,-60,
Bristol,55,-83,-295,
Calhoun,75,14,-46,
Clark Range,356,300,
Dixon Springs,386,324,
Estill Springs,159,91,
Flatwoods,119,134,-228,
Fordtown,109,-22,-239,
Gainesboro,381,323,
Glade Spring,232,10,
Jewell Ridge,275,156,
Lewisburg,174,101,
Lobelville,111,96,
Madisonville,60,0,-64,
Maryville,32,-9,-77,
Monterey,369,314,
Nora,160,96,
Ooltewah~South,157,-7,
Ooltewah,177,35,-53,
Patriot Lateral,549,67,-170,
Ridgetop,320,257,
To Roanoke,67,32,
Rural Retreat,598,106,
Topside,139,182,
Topside South,85,-31,
Tracy City,133,84,
Wartburg,331,295,
