Gas Date: 2023-01-16  Cycle: INTRDY_2023-01-17_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,158,-60,
Bristol,55,-108,-294,
Calhoun,74,23,-50,
Clark Range,356,291,
Dixon Springs,380,318,
Estill Springs,162,106,
Flatwoods,118,116,-228,
Fordtown,109,-38,-239,
Gainesboro,378,318,
Glade Spring,233,-18,
Jewell Ridge,275,158,
Lewisburg,176,118,
Lobelville,112,103,
Madisonville,60,11,-64,
Maryville,32,6,-76,
Monterey,368,308,
Nora,160,96,
Ooltewah~South,157,-1,
Ooltewah,178,33,-53,
Patriot Lateral,555,95,-170,
Ridgetop,320,255,
To Roanoke,67,30,
Rural Retreat,598,120,
Topside,138,174,
Topside South,85,-16,
Tracy City,133,95,
Wartburg,330,286,
