Gas Date: 2022-12-15  Cycle: INTRDY_2022-12-16_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,155,-60,
Bristol,55,-132,-294,
Calhoun,74,23,-50,
Clark Range,356,276,
Dixon Springs,377,304,
Estill Springs,163,106,
Flatwoods,118,117,-228,
Fordtown,108,-69,-239,
Gainesboro,375,302,
Glade Spring,232,-36,
Jewell Ridge,275,154,
Lewisburg,177,117,
Lobelville,112,105,
Madisonville,59,9,-62,
Maryville,33,3,-70,
Monterey,366,293,
Nora,160,100,
Ooltewah~South,157,-10,
Ooltewah,178,50,-53,
Patriot Lateral,563,-26,-170,
Ridgetop,317,285,
To Roanoke,67,40,
Rural Retreat,602,41,
Topside,137,169,
Topside South,84,-24,
Tracy City,134,94,
Wartburg,329,271,
