Gas Date: 2022-12-10  Cycle: INTRDY_2022-12-11_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,109,-60,
Bristol,55,-166,-294,
Calhoun,74,22,-50,
Clark Range,356,179,
Dixon Springs,377,206,
Estill Springs,163,107,
Flatwoods,118,83,-228,
Fordtown,108,-98,-239,
Gainesboro,375,206,
Glade Spring,232,-89,
Jewell Ridge,275,150,
Lewisburg,177,116,
Lobelville,112,89,
Madisonville,59,12,-62,
Maryville,33,8,-70,
Monterey,366,185,
Nora,160,86,
Ooltewah~South,157,3,
Ooltewah,178,63,-53,
Patriot Lateral,563,31,-170,
Ridgetop,317,206,
To Roanoke,67,34,
Rural Retreat,602,63,
Topside,137,119,
Topside South,84,-24,
Tracy City,134,105,
Wartburg,329,178,
