Gas Date: 2023-01-07  Cycle: INTRDY_2023-01-08_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,124,-60,
Bristol,55,-110,-294,
Calhoun,74,5,-50,
Clark Range,356,254,
Dixon Springs,380,285,
Estill Springs,162,104,
Flatwoods,118,92,-228,
Fordtown,109,-57,-239,
Gainesboro,378,285,
Glade Spring,233,-24,
Jewell Ridge,275,158,
Lewisburg,176,114,
Lobelville,112,88,
Madisonville,60,-7,-64,
Maryville,32,-16,-76,
Monterey,368,264,
Nora,160,96,
Ooltewah~South,157,3,
Ooltewah,178,53,-53,
Patriot Lateral,555,91,-170,
Ridgetop,320,251,
To Roanoke,67,33,
Rural Retreat,598,109,
Topside,138,138,
Topside South,85,-47,
Tracy City,133,101,
Wartburg,330,252,
