Gas Date: 2023-02-11  Cycle: INTRDY_2023-02-12_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,150,-60,
Bristol,55,-150,-295,
Calhoun,75,9,-46,
Clark Range,356,279,
Dixon Springs,386,297,
Estill Springs,159,85,
Flatwoods,119,119,-228,
Fordtown,109,-96,-239,
Gainesboro,381,295,
Glade Spring,232,-66,
Jewell Ridge,275,149,
Lewisburg,174,97,
Lobelville,111,82,
Madisonville,60,-6,-64,
Maryville,32,-14,-77,
Monterey,369,293,
Nora,160,85,
Ooltewah~South,157,-9,
Ooltewah,177,31,-53,
Patriot Lateral,549,62,-170,
Ridgetop,320,266,
To Roanoke,67,35,
Rural Retreat,598,86,
Topside,139,165,
Topside South,85,-35,
Tracy City,133,81,
Wartburg,331,277,
