Gas Date: 2022-11-27  Cycle: INTRDY_2022-11-28_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,134,116,-63,
Bristol,56,-146,-288,
Calhoun,70,-1,-54,
Clark Range,353,214,
Dixon Springs,367,233,
Estill Springs,164,73,
Flatwoods,118,87,-228,
Fordtown,108,-80,-240,
Gainesboro,365,233,
Glade Spring,225,-58,
Jewell Ridge,275,154,
Lewisburg,176,95,
Lobelville,113,69,
Madisonville,59,-12,-65,
Maryville,32,-16,-70,
Monterey,359,220,
Nora,160,100,
Ooltewah~South,157,2,
Ooltewah,185,31,-53,
Patriot Lateral,572,94,-170,
Ridgetop,310,221,
To Roanoke,67,30,
Rural Retreat,597,90,
Topside,135,132,
Topside South,85,-41,
Tracy City,133,72,
Wartburg,321,213,
