Gas Date: 2022-12-09  Cycle: INTRDY_2022-12-10_0900
Station Name,Cap,Nom,Cap2
Burrillville,1108,878,
Chaplin,1114,1018,
Cromwell,1400,1173,
C System,178,86,
E System,125,81,
G System,484,328,
Hanover,1119,52,-780,
AGT I-8,150,-122,-440,
J System 2,324,148,
J System,360,200,
Mahwah Mainline,1179,836,-958,
Millenium Mainline,1890,1764,
Oxford,1604,1349,
Southeast,1938,1682,
Stony Point,1961,1742,
Weymouth,80,-32,-720,
