Gas Date: 2025-11-10  Cycle: INTRDY_2025-11-10_1501
Station Name,Cap,Nom,Cap2
Angleton East,660,344,
Angleton West,660,601,
Blessing,660,466,
Blessing South,660,178,-534,
Castor,71,38,-65,
Charco,88,33,
Hempstead,155,151,
Huntsville,155,54,-215,
Joaquin,201,70,-182,
Karon,39,1,
Line 17,540,288,
Longview,150,43,
Lufkin,155,55,
Mont Belvieu,630,288,-660,
Petronila,395,68,-533,
Provident City,370,229,
Santa Fe,305,35,
Speaks,368,272,
Thomaston,182,125,
Tivoli,448,178,-534,
Vidor,615,312,-660,
Vidor East,616,298,
