Gas Date: 2022-11-12  Cycle: INTRDY_2022-11-13_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,134,139,-65,
Bristol,54,-163,-286,
Calhoun,73,2,-55,
Clark Range,353,247,
Dixon Springs,363,273,
Estill Springs,167,97,
Flatwoods,122,110,-228,
Fordtown,100,-93,-241,
Gainesboro,361,272,
Glade Spring,201,-85,
Jewell Ridge,275,137,
Lewisburg,178,106,
Lobelville,111,81,
Madisonville,55,-12,-64,
Maryville,30,-15,-75,
Monterey,358,260,
Nora,160,82,
Ooltewah~South,157,3,
Ooltewah,181,46,-53,
Patriot Lateral,501,-1,-170,
Ridgetop,228,189,
To Roanoke,67,33,
Rural Retreat,515,43,
Topside,135,156,
Topside South,88,-39,
Tracy City,131,96,
Wartburg,318,246,
