Gas Date: 2022-12-31  Cycle: INTRDY_2023-01-01_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,119,-60,
Bristol,55,-114,-294,
Calhoun,74,-37,-50,
Clark Range,356,267,
Dixon Springs,377,296,
Estill Springs,163,19,
Flatwoods,118,84,-228,
Fordtown,108,-59,-239,
Gainesboro,375,296,
Glade Spring,232,-14,
Jewell Ridge,275,154,
Lewisburg,177,26,
Lobelville,112,79,
Madisonville,59,-49,-62,
Maryville,33,-57,-70,
Monterey,366,278,
Nora,160,108,
Ooltewah~South,157,-4,
Ooltewah,178,-32,-53,
Patriot Lateral,563,52,-170,
Ridgetop,317,199,
To Roanoke,67,29,
Rural Retreat,602,37,
Topside,137,134,
Topside South,84,-84,
Tracy City,134,19,
Wartburg,329,265,
