Gas Date: 2023-02-17  Cycle: INTRDY_2023-02-18_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,115,-60,
Bristol,55,-210,-295,
Calhoun,75,18,-46,
Clark Range,356,268,
Dixon Springs,386,297,
Estill Springs,159,103,
Flatwoods,119,74,-228,
Fordtown,109,-139,-239,
Gainesboro,381,296,
Glade Spring,232,-128,
Jewell Ridge,275,146,
Lewisburg,174,113,
Lobelville,111,91,
Madisonville,60,4,-64,
Maryville,32,-3,-77,
Monterey,369,288,
Nora,160,85,
Ooltewah~South,157,-8,
Ooltewah,177,44,-53,
Patriot Lateral,549,67,-170,
Ridgetop,320,258,
To Roanoke,67,44,
Rural Retreat,598,98,
Topside,139,139,
Topside South,85,-34,
Tracy City,133,96,
Wartburg,331,263,
