Gas Date: 2023-01-27  Cycle: INTRDY_2023-01-28_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,165,-60,
Bristol,55,-161,-294,
Calhoun,74,25,-50,
Clark Range,356,315,
Dixon Springs,380,343,
Estill Springs,162,107,
Flatwoods,118,127,-228,
Fordtown,109,-77,-239,
Gainesboro,378,341,
Glade Spring,233,-75,
Jewell Ridge,275,157,
Lewisburg,176,117,
Lobelville,112,107,
Madisonville,60,10,-64,
Maryville,32,-3,-76,
Monterey,368,332,
Nora,160,90,
Ooltewah~South,157,-13,
Ooltewah,178,42,-53,
Patriot Lateral,555,49,-170,
Ridgetop,320,297,
To Roanoke,67,37,
Rural Retreat,598,90,
Topside,138,180,
Topside South,85,-28,
Tracy City,133,95,
Wartburg,330,309,
