Gas Date: 2022-12-21  Cycle: INTRDY_2022-12-22_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,120,-60,
Bristol,55,-133,-294,
Calhoun,74,34,-50,
Clark Range,356,233,
Dixon Springs,377,261,
Estill Springs,163,122,
Flatwoods,118,83,-228,
Fordtown,108,-63,-239,
Gainesboro,375,253,
Glade Spring,232,-54,
Jewell Ridge,275,157,
Lewisburg,177,133,
Lobelville,112,116,
Madisonville,59,24,-62,
Maryville,33,11,-70,
Monterey,366,243,
Nora,160,86,
Ooltewah~South,157,-10,
Ooltewah,178,62,-53,
Patriot Lateral,563,40,-170,
Ridgetop,317,277,
To Roanoke,67,38,
Rural Retreat,602,38,
Topside,137,137,
Topside South,84,-15,
Tracy City,134,111,
Wartburg,329,228,
