Gas Date: 2023-01-17  Cycle: INTRDY_2023-01-18_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,162,-60,
Bristol,55,-69,-294,
Calhoun,74,26,-50,
Clark Range,356,268,
Dixon Springs,380,290,
Estill Springs,162,99,
Flatwoods,118,131,-228,
Fordtown,109,-24,-239,
Gainesboro,378,290,
Glade Spring,233,20,
Jewell Ridge,275,143,
Lewisburg,176,111,
Lobelville,112,95,
Madisonville,60,15,-64,
Maryville,32,11,-76,
Monterey,368,281,
Nora,160,96,
Ooltewah~South,157,0,
Ooltewah,178,36,-53,
Patriot Lateral,555,74,-170,
Ridgetop,320,230,
To Roanoke,67,30,
Rural Retreat,598,97,
Topside,138,177,
Topside South,85,-14,
Tracy City,133,93,
Wartburg,330,263,
