Gas Date: 2022-12-03  Cycle: INTRDY_2022-12-04_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,90,-60,
Bristol,55,-189,-294,
Calhoun,74,5,-50,
Clark Range,356,198,
Dixon Springs,377,244,
Estill Springs,163,92,
Flatwoods,118,57,-228,
Fordtown,108,-131,-239,
Gainesboro,375,243,
Glade Spring,232,-97,
Jewell Ridge,275,160,
Lewisburg,177,101,
Lobelville,112,79,
Madisonville,59,-9,-62,
Maryville,33,-13,-70,
Monterey,366,213,
Nora,160,96,
Ooltewah~South,157,3,
Ooltewah,178,48,-53,
Patriot Lateral,563,25,-170,
Ridgetop,317,239,
To Roanoke,67,31,
Rural Retreat,602,7,
Topside,137,106,
Topside South,84,-42,
Tracy City,134,90,
Wartburg,329,196,
