Gas Date: 2023-01-22  Cycle: INTRDY_2023-01-23_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,153,-60,
Bristol,55,-136,-294,
Calhoun,74,13,-50,
Clark Range,356,286,
Dixon Springs,380,307,
Estill Springs,162,93,
Flatwoods,118,115,-228,
Fordtown,109,-72,-239,
Gainesboro,378,307,
Glade Spring,233,-51,
Jewell Ridge,275,144,
Lewisburg,176,104,
Lobelville,112,101,
Madisonville,60,-1,-64,
Maryville,32,-9,-76,
Monterey,368,298,
Nora,160,89,
Ooltewah~South,157,-9,
Ooltewah,178,38,-53,
Patriot Lateral,555,18,-170,
Ridgetop,320,260,
To Roanoke,67,37,
Rural Retreat,598,61,
Topside,138,168,
Topside South,85,-30,
Tracy City,133,87,
Wartburg,330,281,
