Gas Date: 2022-12-05  Cycle: INTRDY_2022-12-06_0900
Station Name,Cap,Nom,Cap2
Albany,797,588,
Alexander City,800,588,
Dunnellon,791,585,
Hildreth,794,585,
Reunion,787,333,
Transco 85,804,610,
